季度,月份,城市,区域,店名,开业时间,接铺时间,工期（天）,门店序号,状态,项目进度,楼层,面积（㎡）,床位数（个）,地址
25Q2,4月,成都,成华区,财富又一城,4月25日,3月24日,31,换铺重装,开业,,2,132,13,成都市成华区府青路二段2号财富又一城广场2F-12
25Q2,4月,深圳,南山区,K11,4月28日,3月14日,44,220,开业,,5,162,15,深圳市南山区蛇口DY04-01地块深圳市太子湾新世界文化购物坊(“大厦”)L5层L516号商铺
25Q2,4月,成都,武侯区,中粮香颂丽都悦街店,4月29日,3月24日,35,221,开业,,2,191,17,成都市武侯区丽都路513号1栋2层附212号
25Q2,4月,重庆,沙坪坝区,高新天街,4月30日,3月28日,32,222,开业,,5,169.5,13,重庆市沙坪坝区陈家桥街道西双大道龙湖高新天街A馆5F-27号铺
25Q2,5月,深圳,福田区,深业上城,5月1日,3月31日,30,换铺重装,开业,实体墙，5月1日门店试营业,4,120,11,深圳市福田区皇岗路5001号【深业上城】商业L4层【413】号
25Q2,5月,成都,高新区,in99,5月7日,3月31日,32,重装,开业,拆除4天，4月1日-4月4日,6,300,22,成都市高新区天府大道北段1199号银泰中心6楼28号常乐
25Q2,6月,北京,通州区,通州万象汇,6月17日,5月7日,40,223,开业,4月10日晚打围，4月30日接铺，商场要求5月7日施工.6月12日,5F,185.6,16,北京市通州区运河东大街51号首开通州万象汇L508
25Q2,6月,广州,天河区,IFC国金中心,6月15日,5月6日,32,224,开业,需要拆除预计7天时间,B1,93,9,广州市天河区珠江西路5号广州国际金融中心裙楼负一层60房B102单元
25Q2,6月,成都,双流区,金楠天街,6月17日,5月15日,32,换铺重装,开业,,4F,167.02,15,成都市武侯区晋阳路363号龙湖金楠天街购物中心A馆-4F-18
25Q2,6月,北京,朝阳区,悠唐,6月24日,5月22日,32,226,开业,,3F,141,13,北京市朝阳区三丰北里5 号楼/幢03层（03）301内2-303号
25Q2,6月,深圳,福田区,平安金融中心,6月26日,5月20日,32,225,开业,拆除+公区通道+商场通道门头，施工周期预计增加4天,2F,137,13,广东省深圳市福田区福田街道福安社区益田路5033号PA MALL-NL211A
25Q3,7月,北京,丰台区,西铁营万达,7月8日,6月4日,33,227,开业,,4F,104.71,10,北京市丰台区西铁营中路 1 号院西铁营万达广场4021铺
25Q3,7月,成都,双流区,双流万达,7月31日,6月23日,32,原址重装,开业,6月22日晚打围，6月23日-6月27日拆除,3F,152,14,成都市双流区东升街道星空路二段399号万达广场【3F】层【3035】
25Q3,8月,北京,海淀区,中关村领展,8月3日,6月28日,35,229,开业,原定于6月19日接铺，商场拆除未完成。6月27日接铺，7月1日正式施工,3F,137,12,北京市海淀区丹棱街甲1号领展广场 3F-08号商铺
25Q3,8月,深圳,南山区,京基百纳,8月3日,7月2日,31,228,开业,6月23日晚打围，原计划6月30日接铺，商场拆除未完成，7月2日接铺,3F,105,10,深圳市南山区深圳湾二路与白石路交汇处御景东方花园裙楼123号 L3-17、L3-56 号商铺
25Q3,8月,北京,海淀区,五棵松万达,8月12日,7月8日,34,230,开业,原计划6月30日接铺，商场拆除未完成，7月8日接场，派出所备案工作人员不在7月10日才能正式施工,5F,132,12,"北京市海淀区复兴路 69 号五棵松万达广场【5F】层【5003A,5003B】号商铺"
25Q3,8月,上海,静安区,静安CP,8月17日,7月15日,32,231,开业,派出所备案，7月17日放线，7月18日正式施工,4F,136,12,上海市静安区愚园路8号CP静安购物中心L415铺位
25Q3,8月,深圳,南山区,金地威,8月23日,7月21日,32,232,开业,7月21日接铺，7月18日打围,2F,147.8,12,深圳市南山区高新南十道金地威新中心B栋二层L203号商铺
25Q3,9月,深圳,宝安区,大悦城,9月6日,8月4日,32,233,在建,合同、图纸已完成。,3F,130,11,深圳市宝安区新安街道宝民社区25区创业二路61号大悦城商业中心三层L353
25Q3,9月,成都,天府新区,蔚蓝卡地亚,9月9日,8月1日,38,234,在建,世运会管控现行2天。,1F,120,11,成都市天府新区双燕路西段333号15栋1层2号
25Q3,9月,成都,双流区,城南优品道,9月18日,8月11日,32,原址重装,在建,10日晚上搬家具拆除5天。物联网水、电、空调、门打样。,3F,158.4,14,成都市双流区白衣上街二段 177号城南优品道广场第 3 栋3层B317-1
25Q3,9月,杭州,萧山区,亚奥万象天地,9月22日,8月16日,32,235,在建,实际接铺时间8月5日。完工时间按9月18日推进。,3F,127,11,杭州市萧山区盈丰街道亚奥城-杭州亚奥万象天地L323
25Q3,9月,重庆,渝北区,光环花园城,9月26日,8月24日,32,236,在建,合同签订中，图纸审核中,LG1,104,9,重庆市渝北区同茂大道236号光环花园城A馆LG1-12号（轻轨中央公园东站4号口）
25Q3,9月,杭州,滨江区,龙湖滨江天街,9月30日,8月29日,31,237,在建,商务谈判中,2F,116,11,杭州市滨江区江汉路1515号龙湖滨江天街B馆 2F-03a
25Q3,9月,南京,建邺区,华采天地,9月30日,8月28日,32,238,在建,图纸审核中,4F,120,11,南京市建邺区江东中路258号华采天地F4-30
25Q4,10月,重庆,南岸区,长嘉汇购物公园,10月25日,9月22日,32,,意向,商务谈判中,,,,
25Q4,10月,杭州,拱墅区,大悦城,10月25日,9月22日,32,,意向,合同签订中,,,,杭州市拱墅区隐秀路 1 号大悦城【L5-27】号商铺
25Q4,10月,北京,朝阳区,国贸,10月26日,9月15日,32,,意向,"商务谈判中,国庆节假日期间不允许施工",,,,
25Q4,10月,成都,锦江区,科华路王府井,10月28日,9月20日,32,老店重装,待建,,,,,成都市武侯区科华中路 2 号王府井L02034+L02035
25Q4,10月,北京,丰台区,银座和谐广场,11月12日,10月10日,32,,意向,商务谈判中,,,,
25Q4,11月,北京,海淀区,枫蓝国际,11月16日,10月12日,,,意向,商务谈判中,,,,
25Q4,11月,北京,海淀区,清河万象汇,11月17日,10月15日,32,,意向,商务谈判中,,,,
25Q4,11月,上海,黄浦区,荟聚,10月18日,9月15日,32,,意向,商务谈判中,,,,
25Q4,11月,成都,高新区,悠方,11月26日,10月20日,31,老店重装,待建,,,,,
25Q4,11月,广州,海珠区,琶洲天地,11月29日,10月26,,,意向,商务谈判中,,,,
25Q4,12月,成都,靖江区,IFS,12月10日,11月1日,38,,待建,商务谈判中,,,,
25Q4,12月,北京,东城区,东方新天地,12月9日,11月6日,,,意向,商务谈判中,,,,
25Q4,12月,北京,海淀区,华联万柳购物中心,12月19日,11月16日,,,意向,商务谈判中,,,,
25Q4,12月,深圳,南山区,来福士,12月20日,11月13日,31,老店重装,待建,原铺拆除5天时间,,,,
25Q4,12月,成都,绵阳,美学中心,12月25日,11月22日,32,,待建,商务谈判中,,,,
25Q4,12月,成都,锦江区,光环,12月29日,11月26日,32,,意向,商务谈判中,,,,