时间,城市,新开目标,新开实际,闭店,年末数,净增长,目标对照
2019,上海,,,,,,
2019,北京,,,,,,
2019,南京,,,,,,
2019,四川,,,,64,,
2019,宁波,,,,,,
2019,广州,,,,,,
2019,杭州,,,,,,
2019,深圳,,,,,,
2019,重庆,,,,11,,
2020,上海,0,0,0,0,0,0
2020,北京,0,0,0,0,0,0
2020,南京,0,0,0,0,0,0
2020,四川,0,15,8,71,7,7
2020,宁波,0,0,0,0,0,0
2020,广州,0,0,0,0,0,0
2020,杭州,0,0,0,0,0,0
2020,深圳,0,1,0,1,1,1
2020,重庆,0,7,1,17,6,6
2021,上海,0,0,0,0,0,0
2021,北京,0,0,0,0,0,0
2021,南京,0,0,0,0,0,0
2021,四川,0,13,4,80,9,9
2021,宁波,0,0,0,0,0,0
2021,广州,0,0,0,0,0,0
2021,杭州,0,5,0,5,5,5
2021,深圳,0,8,0,9,8,8
2021,重庆,0,8,0,25,8,8
2022,上海,0,0,0,0,0,0
2022,北京,0,0,0,0,0,0
2022,南京,0,3,0,3,3,3
2022,四川,0,8,8,80,0,0
2022,宁波,0,0,0,0,0,0
2022,广州,0,0,0,0,0,0
2022,杭州,0,1,0,6,1,1
2022,深圳,0,2,1,10,1,1
2022,重庆,0,3,3,25,0,0
2023,上海,3,4,0,4,4,1
2023,北京,0,0,0,0,0,0
2023,南京,3,1,0,4,1,-2
2023,四川,10,10,4,86,6,-4
2023,宁波,3,2,0,2,2,-1
2023,广州,3,3,0,3,3,0
2023,杭州,3,2,0,8,2,-1
2023,深圳,3,6,0,16,6,3
2023,重庆,3,4,0,29,4,1
2024,上海,4,4,1,7,3,-1
2024,北京,3,4,0,4,4,1
2024,南京,2,0,0,4,0,-2
2024,四川,6,16,12,90,4,-2
2024,宁波,2,1,0,3,1,-1
2024,广州,3,4,0,7,4,1
2024,杭州,2,1,0,9,1,-1
2024,深圳,6,7,1,22,6,0
2024,重庆,3,2,1,30,1,-2
2025,上海,0,2,0,9,2,2
2025,北京,6,9,0,13,9,3
2025,南京,0,1,0,5,1,1
2025,四川,6,10,9,91,1,-5
2025,宁波,0,0,0,3,0,0
2025,广州,0,2,0,9,2,2
2025,杭州,0,3,1,11,2,2
2025,深圳,6,7,2,27,5,-1
2025,重庆,2,2,2,30,0,-2