城市名称,城市编码,门店名称,门店编码,最后一笔订单日期
北京市,010,北京五棵松万达店,102319,2025-10-12
南京市,025,华采天地（华新城购物中心）,102331,2025-09-30
杭州市,0571,杭州湖滨银泰in77店,102145,2025-06-12
深圳市,0755,汇港二期,102185,2025-04-21
深圳市,0755,京基KK TIME店,102191,2025-09-16
成都市,028,明日巴适店,102193,2025-01-08
成都市,028,金楠天街（新店）,102312,2025-01-08
北京市,010,五棵松万达,102319,2025-08-12
重庆市,023,重庆天地店,102144,2025-10-09
重庆市,023,重庆光环花园城店,102330,2025-09-26
成都市,028,财富又一城店,102036,2025-04-25
成都市,028,双流万达店,102074,2025-06-22
重庆市,023,南坪上海城店,102055,2025-06-30
重庆市,023,解放碑协信星光店,102110,2025-09-13
深圳市,0755,深业上城店,102131,2025-04-20
深圳市,0755,星河WORLD·COCOPark店,102256,2025-05-01
成都市,028,城南优品道店,102072,2025-08-10
成都市,028,绿地中心468伊藤店,102079,2025-02-28
成都市,028,in99银泰中心店,102047,2025-03-31
绵阳市,0816,花园店,102005,2025-05-09
成都市,028,龙湖滨江天街店,102128,2025-10-26
广州市,020,凯德乐峰,102210,2025-03-18
成都市,028,成都保利时光里店,102244,2025-05-27
上海市,021,CP静安,102317,2025-08-17
北京市,010,国贸商城,102334,2025-11-03
成都市,028,城南优品道店（新）,102329,2025-10-09
重庆市,023,龙湖时代天街D馆店,102117,2025-10-08
深圳市,0755,深圳龙华壹方天地店,102169,2025-09-11
重庆市,023,东原悦荟店,102092,2025-07-25
成都市,028,金楠天街店,102031,2025-06-16
重庆市,023,嘉州新光天地店,102108,2025-07-28
重庆市,023,龙湖时代天街A馆店,102065,2025-10-08
成都市,028,MKL生活美学中心店,102122,2025-02-28