城市,租赁总面积,"月总租金（租金、物业、推广）","租金单价（元/月/平）","租金单价（元/天/平）",每平方每天营业额,每1元租金每天产生的营业额,租金占比
四川,11153.67,1405362.48,126,4.2,33.25,8.01,12.46%
重庆,5549.2,723773.84,130.43,4.29,27.07,6.3,15.84%
深圳,3606.01,1242702.6,344.62,11.33,56.78,4.84,19.96%
杭州,1676.82,437089.36,260.67,8.57,47.04,5.2,18.22%
南京,701.22,106511.37,151.89,4.99,29.6,6.05,16.87%
宁波,521.99,81016.88,155.21,5.1,19.08,3.74,26.75%
广州,1268.35,278790.3,219.81,7.23,40.76,5.64,17.73%
上海,1245.16,415863.01,333.98,10.98,57.62,4.99,19.06%
北京,1786.48,462344.5,258.8,8.51,68.97,7.78,12.34%
合计,27508.9,5153454.35,187.34,6.16,37.18,6.25,16.00%