城市,门店名称,开业时间,预算费用,广告费,新客代金券,布展提成,小计,使用率
北京,通州万象汇店,2025/6/17,133639.2,39044,33642,22387.02,95073.02,71.14%
北京,悠唐购物中心,2025/6/24,135764.3175,160126.6,41704,40577.56,242408.16,178.55%
北京,西铁营万达,2025/7/8,85862.2,84920,26080,60182.2,171182.2,199.37%
北京,中关村领展,2025/8/3,126040,12984.55,34610,115656,163250.55,129.52%
北京,五棵松万达店,2025/8/12,144113.96,72549.86,21850,58618,153017.86,106.18%
广州,IFC国金天地,2025/6/15,132001.2,7250,36846.4,7366.44,51462.84,38.99%
杭州,亚奥万象天地店,2025/9/26,81280,1050,16470,0,17520,21.56%
杭州,杭州龙湖滨江天街,2025/9/30,130312.16,30250.05,9029,6900,46179.05,35.44%
南京,华采天地店,2025/9/30,80433.84,27610,10240,24564,62414,77.60%
上海,上海CP静安店,2025/8/17,159936,3555,21672,13193,38420,24.02%
深圳,深圳太子湾K11,2025/4/28,102060,1200,25473.6,1868.88,28542.48,27.97%
深圳,平安金融中心店,2025/6/26,94764.6,40112,46214.6,674.82,87001.42,91.81%
深圳,南山京基百纳,2025/8/3,74481.6,6883.82,16660,0,23543.82,31.61%
深圳,金地威新中心店,2025/8/23,95331,9279.8,21402,8280,38961.8,40.87%
深圳,深圳大悦城店,2025/9/6,105234.72,21752,23243.2,0,44995.2,42.76%
四川,中粮香颂丽都悦街店,2025/4/29,59891.34,1073,9129,191.08,10393.08,17.35%
四川,LACADIERE花园城,2025/9/9,8286.88,7298.7,18662,0,25960.7,313.27%
重庆,龙湖高新天街店,2025/4/30,45751.5,4272.8,22410,855.78,27538.58,60.19%
重庆,重庆光环花园城,2025/9/26,37440,2356.4,9581,3068,15005.4,40.08%
合计,,,1832624.518,533568.58,444918.8,364382.78,1342870.16,73.28%