年份,城市名称,门店名称,门店编码,今年主营收,今年订单量,今年客单价,上年主营收,上年订单量,上年客单价,客单价增长率,是否增长
2025,广州市,广州保利·时光里,102187,2558259.8,13198,193.84,1752,8,219,-11.49%,下降
2025,广州市,凯德乐峰,102210,119,1,119,1415937.26,10666,132.75,-10.36%,下降
2025,上海市,LCM置汇旭辉店,102203,2734322.36,12929,211.49,8463,37,228.73,-7.54%,下降
2025,重庆市,解放碑英利大融城,102052,1356840.3,7742,175.26,1583902.67,8962,176.74,-0.84%,下降
2025,重庆市,重庆环球购物中心店,102053,1109463.69,6649,166.86,1302789,7746,168.19,-0.79%,下降
2025,重庆市,重庆龙湖时代天街A馆店,102065,309885.02,1858,166.78,1764283.41,10534,167.48,-0.42%,下降
2025,重庆市,龙湖时代天街A馆店,102065,1532116.52,9180,166.9,1764283.41,10534,167.48,-0.35%,下降
2025,重庆市,重庆来福士店,102081,1476250.9,9686,152.41,1842762.01,11471,160.65,-5.13%,下降
2025,重庆市,嘉州SKLP店（原新光天地店）,102108,997693.93,5886,169.5,2566491.84,15069,170.32,-0.48%,下降
2025,重庆市,龙湖礼嘉天街店,102123,2293344.04,13883,165.19,2228507.61,13329,167.19,-1.20%,下降
2025,重庆市,光环购物公园店,102197,2325634.26,12204,190.56,2221893.61,11578,191.91,-0.70%,下降
2025,成都市,航空路店,102018,4048591.56,22690,178.43,4017797.5,20682,194.27,-8.15%,下降
2025,成都市,建设路店,102019,1938506.69,10766,180.06,2386789.95,12844,185.83,-3.10%,下降
2025,成都市,会展店,102020,3523482.28,18208,193.51,4076488.09,20087,202.94,-4.65%,下降
2025,成都市,红牌楼店,102022,4286872.89,22480,190.7,4706280.76,23357,201.49,-5.36%,下降
2025,成都市,北城天街店,102024,1689869.21,10711,157.77,2034132.62,12089,168.26,-6.23%,下降
2025,成都市,世豪店,102025,5109998.04,27258,187.47,4815356.18,25397,189.6,-1.12%,下降
2025,成都市,金沙店,102026,3820762.38,21886,174.58,3611596.6,19564,184.6,-5.43%,下降
2025,成都市,金楠天街店,102031,388914.13,2320,167.64,1020148.13,5974,170.76,-1.83%,下降
2025,成都市,金牛万达店,102032,1922330.1,11818,162.66,1768813.11,10827,163.37,-0.43%,下降
2025,成都市,苏宁店,102033,1064483.08,6585,161.65,1408646.73,8119,173.5,-6.83%,下降
2025,成都市,金牛凯德店,102037,4264625.92,23692,180,4727534.35,25065,188.61,-4.56%,下降
2025,成都市,锦城万达店（原奥克斯）,102038,1837372.89,10779,170.46,2095684.98,11768,178.08,-4.28%,下降
2025,成都市,天府凯德店,102039,2787400.85,15604,178.63,3282804.19,18257,179.81,-0.66%,下降
2025,成都市,九方店,102041,2413485.46,14432,167.23,2606650.48,15302,170.35,-1.83%,下降
2025,成都市,银泰城店,102042,3325197.96,18967,175.31,3306562.13,18510,178.64,-1.86%,下降
2025,成都市,成都来福士店,102044,3974709.3,23613,168.33,4498831.03,25124,179.07,-6.00%,下降
2025,成都市,恒大店,102045,2162252.31,12474,173.34,2745769.11,15579,176.25,-1.65%,下降
2025,成都市,大悦城店,102046,2738003.49,14957,183.06,3104301.17,16417,189.09,-3.19%,下降
2025,成都市,兰桂坊店,102049,1263694.98,6652,189.97,1674671.53,8751,191.37,-0.73%,下降
2025,成都市,麓山国际店,102059,2771114.26,15480,179.01,3042211.9,15700,193.77,-7.62%,下降
2025,成都市,锦华万达店,102060,2733826.68,15345,178.16,2981591.97,16375,182.08,-2.15%,下降
2025,成都市,猛追湾世茂店,102062,1619106.63,10081,160.61,1952381.69,11927,163.69,-1.88%,下降
2025,成都市,科华路王府井店,102063,1629758.23,9385,173.66,2129397.27,11835,179.92,-3.48%,下降
2025,成都市,中粮鸿云悦街店,102064,1354158.68,7640,177.25,1824050.6,9640,189.22,-6.33%,下降
2025,成都市,魅力城凯德店,102066,2011675.63,12782,157.38,1922285.8,11779,163.2,-3.57%,下降
2025,成都市,武侯吾悦店,102069,944618.64,6101,154.83,1032947.25,6563,157.39,-1.63%,下降
2025,成都市,城南优品道店,102072,1196226.18,7335,163.08,1862525.24,11088,167.98,-2.92%,下降
2025,成都市,双流万达店,102074,961530.8,5976,160.9,1993241.56,11906,167.41,-3.89%,下降
2025,成都市,绿地中心468伊藤店,102079,286854.83,1744,164.48,2027100.21,12120,167.25,-1.66%,下降
2025,成都市,中海右岸环宇坊,102082,1354169.16,8367,161.85,1415925.42,8673,163.26,-0.86%,下降
2025,成都市,成都红唐购物中心,102083,1301607.26,7593,171.42,1841105.01,10481,175.66,-2.41%,下降
2025,成都市,卓锦曼购中心店,102084,1237163.49,8237,150.2,1097622.52,7156,153.38,-2.07%,下降
2025,成都市,Upark体育公园店,102086,1967041.65,11001,178.81,2505217.82,13855,180.82,-1.11%,下降
2025,成都市,双楠伊藤店,102093,1914581.64,11018,173.77,2231375.6,12554,177.74,-2.23%,下降
2025,成都市,城西优品道店,102094,2207824.12,13532,163.16,2824771.01,16286,173.45,-5.93%,下降
2025,成都市,仁和春天光华店,102097,1314752.93,7864,167.19,1733092.81,10241,169.23,-1.21%,下降
2025,成都市,汇锦街店,102101,2280418.3,13349,170.83,2375822.68,13348,177.99,-4.02%,下降
2025,成都市,绿地之窗店,102102,693333.01,4357,159.13,1011177.25,6112,165.44,-3.81%,下降
2025,成都市,成都环球中心店,102106,1837952.05,11428,160.83,2363724.82,14131,167.27,-3.85%,下降
2025,成都市,东方希望天祥D5店,102107,1575686.74,9479,166.23,2001520.98,11798,169.65,-2.02%,下降
2025,成都市,春熙路百盛店,102109,3326781.08,18682,178.07,3631650.49,19722,184.14,-3.30%,下降
2025,成都市,龙湖星悦荟店,102111,3191221.62,18567,171.88,3059328.03,16966,180.32,-4.68%,下降
2025,成都市,远大购物中心店,102112,2230763.7,12997,171.64,2880797.79,16144,178.44,-3.81%,下降
2025,成都市,MKL生活美学中心店,102122,157071.46,907,173.18,1454783.79,8339,174.46,-0.73%,下降
2025,成都市,凯德新南店,102124,1205327.15,7521,160.26,1501009.25,9233,162.57,-1.42%,下降
2025,成都市,龙湖西宸天街店,102125,4355557.37,25365,171.72,4498639.57,25378,177.27,-3.13%,下降
2025,成都市,成都龙湖时代天街店,102126,1421484.5,10085,140.95,1458782.51,10308,141.52,-0.40%,下降
2025,成都市,成都万象城店,102127,5005982.98,27779,180.21,5431159.3,28432,191.02,-5.66%,下降
2025,成都市,龙湖滨江天街店,102128,2709089.37,15816,171.29,2995256.41,17158,174.57,-1.88%,下降
2025,成都市,群光广场店,102129,1570984.55,10169,154.49,1794616.5,10824,165.8,-6.82%,下降
2025,成都市,成都上城天街店,102150,1566196.61,10213,153.35,1804948.89,11185,161.37,-4.97%,下降
2025,成都市,鹏瑞利店,102157,1871150.74,12214,153.2,1685857.12,10527,160.15,-4.34%,下降
2025,成都市,成都印象城店,102162,1225954.88,7060,173.65,1692041.14,9654,175.27,-0.92%,下降
2025,成都市,成都蜀新天街店,102175,2295425.65,15407,148.99,1996822.35,13349,149.59,-0.40%,下降
2025,成都市,成都合景摩方店,102176,1610728.4,10018,160.78,1853377.04,11093,167.08,-3.77%,下降
2025,成都市,天府和悦广场,102179,1614325.09,9597,168.21,1868330.98,11028,169.42,-0.71%,下降
2025,成都市,成都招商大魔方,102180,1968166.24,12164,161.8,1873072.98,11514,162.68,-0.54%,下降
2025,成都市,成都阳光新业店,102181,1910816.9,11389,167.78,3530,20,176.5,-4.94%,下降
2025,成都市,青羊万达,102196,1272788.54,8309,153.18,1391606.03,8975,155.05,-1.21%,下降
2025,杭州市,杭州湖滨银泰in77店,102145,475282.55,2626,180.99,1598760.51,8831,181.04,-0.03%,下降
2025,杭州市,杭州嘉里中心店,102154,3202148.02,16720,191.52,2925383.62,15168,192.87,-0.70%,下降
2025,深圳市,深圳来福士店,102113,3743258.73,17367,215.54,4095128.22,18858,217.16,-0.75%,下降
2025,深圳市,深业上城店,102131,1531737.86,7096,215.86,5906201.26,26393,223.78,-3.54%,下降
2025,深圳市,壹方天地D馆店,102169,1440628.47,7447,193.45,6527,33,197.79,-2.19%,下降
2025,深圳市,领展中心城店,102184,5415665.95,22937,236.11,5646987.24,23476,240.54,-1.84%,下降
2025,深圳市,汇港二期,102185,418,2,209,2747,13,211.31,-1.09%,下降
2025,深圳市,京基KK ONE店,102195,1996598.84,9099,219.43,12993.9,59,220.24,-0.37%,下降
2025,深圳市,京基KK ONE店,102195,1996598.84,9099,219.43,163538.7,731,223.72,-1.92%,下降
2025,绵阳市,汉城店,102001,1250386.68,7610,164.31,1406305.48,8336,168.7,-2.60%,下降
2025,绵阳市,旗舰店,102002,2420725.2,13827,175.07,2519943.76,13629,184.9,-5.32%,下降
2025,绵阳市,国际店,102003,1982603.49,11809,167.89,2190791.98,12612,173.71,-3.35%,下降
2025,绵阳市,三台店,102004,898446.41,5434,165.34,1236243.49,7197,171.77,-3.74%,下降
2025,绵阳市,花园店,102005,349477.39,2123,164.61,1327294.53,7717,172,-4.30%,下降
2025,绵阳市,绵阳凯德广场店,102167,1148609.84,7691,149.34,1197884.19,7720,155.17,-3.76%,下降
2025,德阳市,翠湖店,102006,1880307.59,11859,158.56,1615396.78,9873,163.62,-3.09%,下降
2025,德阳市,沙河街店,102007,2960042.82,17681,167.41,3388381.52,19825,170.91,-2.05%,下降
2025,德阳市,黄河桥店,102008,1720002.9,11709,146.9,1747937.46,11427,152.97,-3.97%,下降
2025,德阳市,广汉店,102035,1923621.49,11556,166.46,2124589.91,12580,168.89,-1.44%,下降
2025,德阳市,广汉百伦店,102171,865459.42,6467,133.83,1052858.28,7866,133.85,-0.01%,下降