责任人,项目名称,订单数,挂标签人数,人均单量,项目回头率,营业额,销售占比,客单价
张冬萍/陈雪晴,睡眠调理,25338,641,39.53,41.64%,5259314.56,18.14%,180.66
张冬萍/陈雪晴,运动排酸,17392,604,28.79,32.17%,2390137.03,8.24%,118.66
张冬萍/陈雪晴,肠胃调理,4379,476,9.2,40.67%,922487.59,3.18%,182.02
张冬萍/陈雪晴,疏肝理气,1928,99,19.47,47.82%,411748.37,1.42%,184.48
张冬萍/陈雪晴,淋巴排毒,1902,127,14.98,46.06%,403617.94,1.39%,182.3
张冬萍/陈雪晴,祛湿排寒,1819,107,17,44.75%,387180.94,1.34%,186.5
张冬萍/陈雪晴,肩背经络疏通,896,67,13.37,3.01%,230737.82,0.80%,182.55
张冬萍/陈雪晴,扶阳艾灸,893,77,11.6,47.59%,195570.54,0.67%,189.51
张冬萍/陈雪晴,温宫暖巢,737,67,11,52.65%,159701.18,0.55%,190.35
张冬萍/陈雪晴,腰肾扶阳,652,59,11.05,45.71%,139432.6,0.48%,182.5
张冬萍/陈雪晴,焦虑失眠,116,9,12.89,34.48%,21807.05,0.08%,158.02
张冬萍/陈雪晴,肠胃胀气,8,2,4,75.00%,1451,0.01%,161.22
陈阳/李峰,头颈肩痛,33718,900,37.46,38.15%,6993902.39,24.12%,180.72
陈阳/李峰,腰酸背痛,21134,704,30.02,39.85%,4459067.16,15.38%,183.83
陈阳/李峰,对症推拿,20442,689,29.67,30.08%,2933837.77,10.12%,118.43
陈阳/李峰,筋膜刀松解,1205,70,17.21,45.81%,282404.41,0.97%,205.09
陈阳/李峰,运动拉伸,1216,113,10.76,48.03%,281716.41,0.97%,203.99
陈阳/李峰,头疗+采耳,1153,68,16.96,26.11%,142172.12,0.49%,104.08
陈阳/李峰,含胸驼背,548,51,10.75,42.52%,138385.07,0.48%,221.42
陈阳/李峰,骨盆调整,260,25,10.4,38.46%,74641.35,0.26%,252.17
陈阳/李峰,脊柱调整,150,12,12.5,32.00%,49172.3,0.17%,287.56
陈阳/李峰,腿足酸痛,407,30,13.57,21.13%,44137.84,0.15%,95.33
陈阳/李峰,跑步疼痛康复,147,16,9.19,48.30%,30445.55,0.11%,180.15
陈阳/李峰,富贵包,44,9,4.89,54.55%,11909.4,0.04%,243.05
陈阳/李峰,腰背松解,1,1,1,100.00%,118,0.00%,59
陈阳/李峰,足疗+踩背,8651,290,29.83,51.35%,1661033.19,5.73%,165.9
陈阳/李峰,足疗+采耳,6675,270,24.72,47.73%,1266132.66,4.37%,164.35
陈阳/李峰,足疗+修脚,509,24,21.21,62.08%,100920.76,0.35%,171.05