日期,注册会员总数,当月有消费记录的会员-数量,当月有消费记录的会员-比例,当月新增会员数,当月新增会员占消费会员比例,当月活跃会员数,当月回流会员数,当月复购会员占消费会员比例,当月流失会员数量,流失会员占会员总数的比例
2024-02,1470472,78867,0.05,17280,0.22,28973,32614,0.78,,
2024-03,1492661,95841,0.06,21969,0.23,30527,43345,0.77,,
2024-04,1514880,94868,0.06,21110,0.22,36174,37584,0.78,,
2024-05,1539304,100820,0.07,22677,0.22,36720,41423,0.78,,
2024-06,1564965,103622,0.07,23119,0.22,38402,42101,0.78,,
2024-07,1596099,111547,0.07,26827,0.24,39207,45513,0.76,,
2024-08,1630339,116935,0.07,29432,0.25,41027,46476,0.75,,
2024-09,1661127,114775,0.07,26622,0.23,41650,46503,0.77,,
2024-10,1690939,110751,0.07,25788,0.23,41069,43894,0.77,,
2024-11,1716288,103269,0.06,22412,0.22,39616,41241,0.78,,
2024-12,1740469,102592,0.06,21589,0.21,38709,42294,0.79,,
2025-01,1759193,97014,0.06,21956,0.23,37783,37275,0.77,65025,0.04
2025-02,1779043,101081,0.06,23131,0.23,38064,39886,0.77,67971,0.04
2025-03,1800911,108755,0.06,25325,0.23,41537,41893,0.77,72378,0.04
2025-04,1820540,104034,0.06,22661,0.22,43972,37402,0.78,66822,0.04
2025-05,1842736,110365,0.06,25492,0.23,44023,40850,0.77,73206,0.04
2025-06,1865417,109662,0.06,25765,0.23,45068,38829,0.77,71976,0.04
2025-07,1890045,113205,0.06,24394,0.22,44567,44244,0.78,93933,0.05
2025-08,1916833,118298,0.06,25785,0.22,45841,46672,0.78,161559,0.08
2025-09,1940361,112799,0.06,23385,0.21,45345,44069,0.79,76528,0.04
2025-10,1964899,113128,0.06,23987,0.21,44939,44203,0.79,11611,0.01