时间,一级类目,二级类目,金额,比例
2021年,收入,-,255631342.2,
2022年,收入,-,240151904.7,
2023年,收入,-,315064595,
2024年,收入,-,362562179.3,
2025年,收入,-,304560839.2,
2021年,管理费,-,10196772.48,4%
2022年,管理费,-,14366392.48,6%
2023年,管理费,-,18861153.89,6%
2024年,管理费,-,21711008.95,6%
2025年,管理费,-,14274964.44,5%
2021年,人工成本,推拿师成本,117610522.7,46%
2022年,人工成本,推拿师成本,109896791.4,46%
2023年,人工成本,推拿师成本,148522318.7,47%
2024年,人工成本,推拿师成本,170163747.2,47%
2025年,人工成本,推拿师成本,141612775.9,46%
2021年,人工成本,后台成本,24619308.06,10%
2022年,人工成本,后台成本,18647075.14,8%
2023年,人工成本,后台成本,18380301.17,6%
2024年,人工成本,后台成本,26931543.42,7%
2025年,人工成本,后台成本,22210172.53,7%
2021年,人工成本,总部成本,14945189.38,6%
2022年,人工成本,总部成本,13224572.63,6%
2023年,人工成本,总部成本,15606076.81,5%
2024年,人工成本,总部成本,16989496.27,5%
2025年,人工成本,总部成本,12991249.58,4%
2021年,人工成本,小计,157175020.1,61%
2022年,人工成本,小计,141768439.2,59%
2023年,人工成本,小计,182508696.7,58%
2024年,人工成本,小计,214084786.9,59%
2025年,人工成本,小计,176814198,58%
2021年,变动成本,房租成本,38918248.75,15%
2022年,变动成本,房租成本,42821180.02,18%
2023年,变动成本,房租成本,51826093.57,16%
2024年,变动成本,房租成本,64159405.28,18%
2025年,变动成本,房租成本,50315004.91,17%
2021年,变动成本,折旧成本,20174224.5,8%
2022年,变动成本,折旧成本,22833773.8,10%
2023年,变动成本,折旧成本,26586951.04,8%
2024年,变动成本,折旧成本,29247702.92,8%
2025年,变动成本,折旧成本,22181170.52,7%
2021年,变动成本,物资成本,15252864.46,6%
2022年,变动成本,物资成本,13700252.8,6%
2023年,变动成本,物资成本,17437637.39,6%
2024年,变动成本,物资成本,21007713,6%
2025年,变动成本,物资成本,17668940.65,6%
2021年,变动成本,税金,821097.0116,0%
2022年,变动成本,税金,979586.5809,0%
2023年,变动成本,税金,4767491.532,2%
2024年,变动成本,税金,6441876.192,2%
2025年,变动成本,税金,5017227.719,2%
2021年,变动成本,其他,9265762.737,4%
2022年,变动成本,其他,9493267.699,4%
2023年,变动成本,其他,8082513.09,3%
2024年,变动成本,其他,11521567.2,3%
2025年,变动成本,其他,9113112.787,3%
2021年,变动成本,小计,84432197.45,33%
2022年,变动成本,小计,89828060.9,37%
2023年,变动成本,小计,108700686.6,35%
2024年,变动成本,小计,132378264.6,37%
2025年,变动成本,小计,104295456.6,34%
2021年,利润,-,14024124.62,5%
2022年,利润,-,8503397.619,4%
2023年,利润,-,25245869.62,8%
2024年,利润,-,17359394.75,5%
2025年,利润,-,23451184.62,8%