门店编码,门店名称,城市编码,城市名称,开业日期（系统记录）,闭店日期（系统记录）,门店第一笔服务订单发生日期,门店最后一笔服务订单发生日期（绝对）,门店最后一笔服务订单发生日期（相对）
102001,汉城店,0816,绵阳市,2012-12-01,,2016-05-01,2025-12-15,昨天
102002,旗舰店,0816,绵阳市,2023-05-22,,2016-05-01,2025-12-15,昨天
102003,国际店,0816,绵阳市,2012-09-01,,2016-05-01,2025-12-15,昨天
102004,三台店,0816,绵阳市,2013-05-01,,2016-05-01,2025-12-15,昨天
102006,翠湖店,0838,德阳市,2024-11-28,,2016-05-01,2025-12-15,昨天
102007,沙河街店,0838,德阳市,2021-05-19,,2016-05-01,2025-12-15,昨天
102008,黄河桥店,0838,德阳市,2020-01-01,,2016-05-01,2025-12-15,昨天
102018,航空路店,028,成都市,2024-11-29,,2016-05-01,2025-12-15,昨天
102019,建设路店,028,成都市,2020-08-06,,2016-05-01,2025-12-15,昨天
102020,会展店,028,成都市,2020-05-28,,2016-05-01,2025-12-15,昨天
102022,红牌楼店,028,成都市,2013-12-01,,2016-05-01,2025-12-15,昨天
102024,北城天街店,028,成都市,2014-04-01,,2016-05-01,2025-12-15,昨天
102025,世豪店,028,成都市,2024-05-09,,2016-05-01,2025-12-15,昨天
102026,金沙店,028,成都市,2024-12-26,,2016-05-01,2025-12-15,昨天
102032,金牛万达店,028,成都市,2024-09-03,,2016-05-01,2025-12-15,昨天
102033,苏宁店,028,成都市,2024-12-06,,2016-05-01,2025-12-15,昨天
102035,广汉店,0838,德阳市,2015-04-01,,2016-05-01,2025-12-15,昨天
102037,金牛凯德店,028,成都市,2021-06-01,,2016-05-01,2025-12-15,昨天
102038,锦城万达店（原奥克斯）,028,成都市,2015-08-01,,2016-05-01,2025-12-15,昨天
102039,天府凯德店,028,成都市,2022-04-01,,2016-05-16,2025-12-15,昨天
102041,九方店,028,成都市,2016-07-01,,2016-07-29,2025-12-15,昨天
102042,银泰城店,028,成都市,2024-10-25,,2016-08-19,2025-12-15,昨天
102044,成都来福士店,028,成都市,2016-10-01,,2016-10-19,2025-12-15,昨天
102045,恒大店,028,成都市,2024-10-21,,2016-11-29,2025-12-15,昨天
102046,大悦城店,028,成都市,2016-12-01,,2016-12-21,2025-12-15,昨天
102049,兰桂坊店,028,成都市,2017-05-01,,2017-05-19,2025-12-15,昨天
102052,解放碑英利大融城,023,重庆市,2017-07-01,,2017-07-09,2025-12-15,昨天
102053,重庆环球购物中心店,023,重庆市,2017-07-01,,2017-07-22,2025-12-15,昨天
102059,麓山国际店,028,成都市,2022-12-28,,2017-09-09,2025-12-15,昨天
102060,锦华万达店,028,成都市,2023-09-03,,2017-09-29,2025-12-15,昨天
102062,猛追湾世茂店,028,成都市,2018-01-26,,2018-01-25,2025-12-15,昨天
102063,科华路王府井店,028,成都市,2025-11-17,,2017-12-01,2025-12-15,昨天
102064,中粮鸿云悦街店,028,成都市,2017-12-24,,2017-12-24,2025-12-15,昨天
102065,重庆龙湖时代天街A馆店,023,重庆市,2018-03-19,,2018-03-19,2025-12-15,昨天
102066,魅力城凯德店,028,成都市,2018-04-26,,2018-04-26,2025-12-15,昨天
102067,华熙528店,028,成都市,2019-10-19,,2019-10-19,2025-12-15,昨天
102068,仁和新城店,028,成都市,2018-11-23,,2018-11-23,2025-12-15,昨天
102069,武侯吾悦店,028,成都市,2018-07-09,,2018-07-09,2025-12-15,昨天
102076,领地·环球金融中心,028,成都市,2018-10-25,,2018-10-25,2025-12-15,昨天
102081,重庆来福士店,023,重庆市,2019-09-06,,2019-09-06,2025-12-15,昨天
102082,中海右岸环宇坊,028,成都市,2019-05-09,,2019-05-09,2025-12-15,昨天
102083,成都红唐购物中心,028,成都市,2020-01-09,,2020-01-09,2025-12-15,昨天
102084,卓锦曼购中心店,028,成都市,2019-06-20,,2019-06-20,2025-12-15,昨天
102086,Upark体育公园店,028,成都市,2019-10-09,,2019-10-09,2025-12-15,昨天
102088,弹子石老街店,023,重庆市,2019-08-19,,2019-08-18,2025-12-15,昨天
102089,兴隆湖店,028,成都市,2019-10-18,,2019-10-18,2025-12-15,昨天
102092,悦荟购物中心店,023,重庆市,2019-10-09,,2019-10-09,2025-12-15,昨天
102093,双楠伊藤店,028,成都市,2021-03-31,,2021-03-31,2025-12-15,昨天
102094,城西优品道店,028,成都市,2019-11-29,,2019-11-29,2025-12-15,昨天
102097,仁和春天光华店,028,成都市,2020-06-09,,2020-06-09,2025-12-15,昨天
102101,汇锦街店,028,成都市,2020-07-19,,2020-07-19,2025-12-15,昨天
102102,绿地之窗店,028,成都市,2020-07-09,,2020-07-09,2025-12-15,昨天
102103,观音桥富力坊店,023,重庆市,2020-08-09,,2020-08-09,2025-12-15,昨天
102105,CIC天和里购物中心店,023,重庆市,2020-09-09,,2020-09-09,2025-12-15,昨天
102106,成都环球中心店,028,成都市,2020-09-09,,2020-09-09,2025-12-15,昨天
102107,东方希望天祥D5店,028,成都市,2020-09-19,,2020-09-18,2025-12-15,昨天
102108,嘉州SKLP店（原新光天地店）,023,重庆市,2020-10-29,,2020-10-28,2025-12-15,昨天
102109,春熙路百盛店,028,成都市,2020-10-09,,2020-10-09,2025-12-15,昨天
102111,龙湖成都武侯欢肆店,028,成都市,2020-12-09,,2020-12-09,2025-12-15,昨天
102112,远大购物中心店,028,成都市,2020-12-19,,2020-12-19,2025-12-15,昨天
102117,大坪龙湖时代天街D馆店,023,重庆市,2020-11-19,,2020-11-19,2025-12-15,昨天
102118,龙湖源著天街店,023,重庆市,2020-11-29,,2020-11-29,2025-12-15,昨天
102120,凯德公园一号店,0755,深圳市,2021-01-09,,2021-01-09,2025-12-15,昨天
102123,龙湖礼嘉天街店,023,重庆市,2020-12-25,,2020-12-25,2025-12-15,昨天
102124,凯德新南店,028,成都市,2021-01-19,,2021-01-19,2025-12-15,昨天
102125,龙湖西宸天街店,028,成都市,2024-09-23,,2021-02-19,2025-12-15,昨天
102126,成都龙湖时代天街店,028,成都市,2021-03-29,,2021-03-29,2025-12-15,昨天
102127,成都万象城店,028,成都市,2021-03-10,,2022-04-01,2025-12-15,昨天
102128,成都龙湖滨江天街店,028,成都市,2021-03-19,,2021-03-19,2025-12-15,昨天
102129,群光广场店,028,成都市,2021-04-09,,2021-04-09,2025-12-15,昨天
102130,龙泉驿世茂广场店,028,成都市,2021-04-28,,2021-04-28,2025-12-15,昨天
102132,重庆财信广场店,023,重庆市,2021-05-19,,2021-05-19,2025-12-15,昨天
102133,宝能太古城店,0755,深圳市,2021-05-29,,2021-05-29,2025-12-15,昨天
102134,招商花园城店,0755,深圳市,2021-05-16,,2021-05-16,2025-12-15,昨天
102135,远洋乐堤港店,0571,杭州市,2021-06-09,,2021-06-09,2025-12-15,昨天
102137,杭州来福士店,0571,杭州市,2021-06-25,,2021-06-25,2025-12-15,昨天
102138,深圳方大城店,0755,深圳市,2021-07-09,,2021-07-03,2025-12-15,昨天
102139,深圳金光华店,0755,深圳市,2021-07-20,,2021-07-20,2025-12-15,昨天
102140,杭州城西银泰店,0571,杭州市,2021-07-27,,2021-07-27,2025-12-15,昨天
102141,中航城君尚店,0755,深圳市,2021-09-29,,2021-09-29,2025-12-15,昨天
102142,重庆爱融荟城店,023,重庆市,2021-07-09,,2021-07-09,2025-12-15,昨天
102143,成都蜀都万达店,028,成都市,2021-07-09,,2021-07-09,2025-12-15,昨天
102144,重庆新天地店,023,重庆市,2021-08-09,,2021-08-09,2025-12-15,昨天
102146,杨家坪龙湖西城天街店,023,重庆市,2021-09-19,,2021-09-19,2025-12-15,昨天
102150,成都上城天街店,028,成都市,2021-09-15,,2021-09-15,2025-12-15,昨天
102152,南坪协信星光店,023,重庆市,2021-09-29,,2021-09-29,2025-12-15,昨天
102153,大竹林金科乐方店,023,重庆市,2021-10-30,,2021-10-29,2025-12-15,昨天
102154,杭州嘉里中心店,0571,杭州市,2021-09-16,,2021-09-16,2025-12-15,昨天
102156,重庆大悦城店,023,重庆市,2021-12-31,,2021-12-31,2025-12-15,昨天
102157,鹏瑞利店,028,成都市,2021-12-31,,2021-12-31,2025-12-15,昨天
102158,金开爱琴海店,023,重庆市,2022-04-19,,2022-04-19,2025-12-15,昨天
102161,南京金鹰世界店,025,南京市,2022-06-01,,2022-06-01,2025-12-15,昨天
102162,成都印象城店,028,成都市,2022-05-26,,2022-05-26,2025-12-15,昨天
102163,杭州滨江宝龙城店,0571,杭州市,2022-07-17,,2022-07-16,2025-12-15,昨天
102164,南京建邺吾悦广场店,025,南京市,2022-07-25,,2022-07-24,2025-12-15,昨天
102165,重庆财富MALL店,023,重庆市,2022-08-05,,2022-08-05,2025-12-15,昨天
102166,重庆万象城南区店,023,重庆市,2022-07-26,,2022-07-26,2025-12-15,昨天
102167,绵阳凯德广场店,0816,绵阳市,2022-08-15,,2022-08-15,2025-12-15,昨天
102168,成都仁恒置地店,028,成都市,2022-09-29,,2022-09-29,2025-12-15,昨天
102169,壹方天地D馆店,0755,深圳市,2022-12-24,,2022-12-24,2025-12-15,昨天
102170,南京河西天街店,025,南京市,2022-08-27,,2022-08-26,2025-12-15,昨天
102171,广汉百伦店,0838,德阳市,2022-09-29,,2022-09-29,2025-12-15,昨天
102172,万象食家店,0755,深圳市,2023-09-29,,2023-09-29,2025-12-15,昨天
102173,深圳前海印里店,0755,深圳市,2022-09-28,,2022-09-25,2025-12-15,昨天
102174,成都麓坊中心店,028,成都市,2022-11-04,,2022-11-03,2025-12-15,昨天
102175,成都蜀新天街店,028,成都市,2022-12-24,,2022-12-24,2025-12-15,昨天
102176,成都合景摩方店,028,成都市,2023-05-17,,2023-05-17,2025-12-15,昨天
102177,宁波万象城店,0574,宁波市,2023-05-26,,2023-05-26,2025-12-15,昨天
102178,宁波来福士店,0574,宁波市,2023-06-01,,2023-06-01,2025-12-15,昨天
102179,天府和悦广场,028,成都市,2023-05-19,,2023-05-19,2025-12-15,昨天
102180,成都招商大魔方,028,成都市,2023-06-06,,2023-06-06,2025-12-15,昨天
102181,成都阳光新业店,028,成都市,2023-06-21,,2023-06-21,2025-12-15,昨天
102182,新希望中鼎国际,028,成都市,2023-12-25,,2023-12-25,2025-12-15,昨天
102183,重庆万象城北区店,023,重庆市,2023-06-20,,2023-06-20,2025-12-15,昨天
102184,领展中心城店,0755,深圳市,2023-06-29,,2023-06-29,2025-12-15,昨天
102185,海上世界汇港二期,0755,深圳市,2023-07-07,,2023-07-07,2025-12-15,昨天
102186,ICC环贸店,020,广州市,2023-07-03,,2023-07-03,2025-12-15,昨天
102187,广州保利·时光里,020,广州市,2023-07-15,,2023-07-15,2025-12-15,昨天
102188,杭州龙湖西溪天街店,0571,杭州市,2023-07-15,,2023-07-15,2025-12-15,昨天
102190,上海华润时代店,021,上海市,2023-07-19,,2023-07-19,2025-12-15,昨天
102191,罗湖京基水贝店,0755,深圳市,2023-09-08,,2023-09-08,2025-12-15,昨天
102193,明日巴适,028,成都市,2024-05-28,,2024-05-28,2025-12-15,昨天
102194,重庆印象城,023,重庆市,2023-09-28,,2023-09-28,2025-12-15,昨天
102195,京基KK ONE店,0755,深圳市,2023-09-09,,2023-09-09,2025-12-15,昨天
102196,青羊万达,028,成都市,2023-08-18,,2023-08-18,2025-12-15,昨天
102197,光环购物公园店,023,重庆市,2023-08-19,,2023-08-19,2025-12-15,昨天
102198,金鹰新街口店,025,南京市,2023-09-15,,2023-09-14,2025-12-15,昨天
102199,龙湖爱加两江星悦荟店,023,重庆市,2023-09-23,,2023-09-23,2025-12-15,昨天
102200,天府大悦城,028,成都市,2023-12-30,,2023-12-30,2025-12-15,昨天
102203,LCM置汇旭辉店,021,上海市,2023-09-15,,2023-09-15,2025-12-15,昨天
102204,上海万象城店,021,上海市,2023-11-01,,2023-11-01,2025-12-15,昨天
102205,杭州城北万象城,0571,杭州市,2023-11-05,,2023-11-05,2025-12-15,昨天
102206,深圳湾睿印,0755,深圳市,2023-12-09,,2023-12-09,2025-12-15,昨天
102207,环贸ICD,028,成都市,2023-12-15,,2023-12-15,2025-12-15,昨天
102210,凯德乐峰广场店,020,广州市,2023-11-25,,2023-11-24,2025-12-15,昨天
102211,合生汇,028,成都市,2024-01-09,,2024-01-09,2025-12-15,昨天
102213,长宁来福士,021,上海市,2023-12-09,,2023-12-09,2025-12-15,昨天
102225,龙湖金沙天街店,023,重庆市,2024-04-05,,2024-04-04,2025-12-15,昨天
102227,万象前海,0755,深圳市,2024-05-10,,2024-05-09,2025-12-15,昨天
102228,西源集,028,成都市,2024-06-29,,2024-06-29,2025-12-15,昨天
102230,高德置地冬广场,020,广州市,2024-04-06,,2024-04-05,2025-12-15,昨天
102231,地王大厦,0755,深圳市,2024-05-31,,2024-05-31,2025-12-15,昨天
102232,皇庭广场店,0755,深圳市,2024-06-01,,2024-06-01,2025-12-15,昨天
102234,凯德太阳宫店,010,北京市,2024-04-27,,2024-04-27,2025-12-15,昨天
102235,静安大悦城店,021,上海市,2024-06-15,,2024-06-15,2025-12-15,昨天
102237,北京来福士店,010,北京市,2024-08-06,,2024-08-06,2025-12-15,昨天
102239,卓悦汇店,0755,深圳市,2024-07-05,,2024-07-05,2025-12-15,昨天
102240,西村店,028,成都市,2024-07-03,,2024-07-03,2025-12-15,昨天
102241,丽泽天街店,010,北京市,2024-07-19,,2024-07-19,2025-12-15,昨天
102242,瑞虹天地月亮湾店,021,上海市,2024-07-27,,2024-07-26,2025-12-15,昨天
102243,龙湖云领天街店,023,重庆市,2024-06-28,,2024-06-28,2025-12-15,昨天
102244,成都保利时光里,028,成都市,2024-10-18,,2024-10-18,2025-12-15,昨天
102245,中华广场,020,广州市,2024-08-05,,2024-08-04,2025-12-15,昨天
102246,天河领展广场,020,广州市,2024-08-25,,2024-08-24,2025-12-15,昨天
102248,鄞州万象汇,0574,宁波市,2024-09-13,,2024-09-08,2025-12-15,昨天
102249,东站万象汇,0571,杭州市,2024-09-05,,2024-09-05,2025-12-15,昨天
102250,三利爱琴海店,028,成都市,2024-09-20,,2024-09-20,2025-12-15,昨天
102251,北外滩来福士,021,上海市,2024-09-03,,2024-09-03,2025-12-15,昨天
102252,凤凰汇,010,北京市,2024-10-13,,2024-10-13,2025-12-15,昨天
102253,京基KK MALL店,0755,深圳市,2024-10-16,,2024-10-16,2025-12-15,昨天
102254,佳兆业广场,020,广州市,2024-10-21,,2024-10-21,2025-12-15,昨天
102256,龙岗星河WORLD·COCOPark店,0755,深圳市,2024-12-13,,2024-12-12,2025-12-15,昨天
102257,深圳太子湾K11,0755,深圳市,2025-04-28,,2025-04-28,2025-12-15,昨天
102288,财富又一城店,028,成都市,2025-04-25,,2025-04-25,2025-12-15,昨天
102289,深业上城店,0755,深圳市,2025-05-03,,2025-05-01,2025-12-15,昨天
102292,龙湖高新天街店,023,重庆市,2025-04-30,,2025-04-30,2025-12-15,昨天
102293,中粮香颂丽都悦街店,028,成都市,2025-04-29,,2025-04-29,2025-12-15,昨天
102295,通州万象汇店,010,北京市,2025-06-17,,2025-06-17,2025-12-15,昨天
102296,in99银泰中心店,028,成都市,2025-05-07,,2025-05-07,2025-12-15,昨天
102298,金地威新中心店,0755,深圳市,2025-08-23,,2025-08-22,2025-12-15,昨天
102299,深圳大悦城店,0755,深圳市,2025-09-06,,2025-09-04,2025-12-15,昨天
102301,平安金融中心店,0755,深圳市,2025-06-26,,2025-06-26,2025-12-15,昨天
102306,西铁营万达,010,北京市,2025-07-08,,2025-07-08,2025-12-15,昨天
102307,南山京基百纳,0755,深圳市,2025-08-03,,2025-08-03,2025-12-15,昨天
102312,金楠天街店,028,成都市,2025-06-17,,2025-06-17,2025-12-15,昨天
102313,LACADIERE花园城,028,成都市,2025-09-09,,2025-09-09,2025-12-15,昨天
102314,IFC国金天地,020,广州市,2025-06-15,,2025-06-14,2025-12-15,昨天
102315,悠唐购物中心,010,北京市,2025-06-24,,2025-06-24,2025-12-15,昨天
102317,上海CP静安店,021,上海市,2025-08-17,,2025-08-16,2025-12-15,昨天
102318,中关村领展,010,北京市,2025-08-03,,2025-08-03,2025-12-15,昨天
102319,五棵松万达店,010,北京市,2025-08-12,,2025-08-12,2025-12-15,昨天
102320,成都IFS购物中心,028,成都市,2025-12-09,,2025-12-09,2025-12-15,昨天
102321,双流万达店,028,成都市,2025-07-31,,2025-07-31,2025-12-15,昨天
102328,亚奥万象天地店,0571,杭州市,2025-09-26,,2025-09-26,2025-12-15,昨天
102329,城南优品道店,028,成都市,2025-09-17,,2025-09-17,2025-12-15,昨天
102330,重庆光环花园城,023,重庆市,2025-09-26,,2025-09-26,2025-12-15,昨天
102331,华采天地店,025,南京市,2025-09-30,,2025-09-29,2025-12-15,昨天
102333,杭州龙湖滨江天街,0571,杭州市,2025-09-30,,2025-09-30,2025-12-15,昨天
102334,北京国贸商城店,010,北京市,2025-10-28,,2025-10-28,2025-12-15,昨天
102335,北京龙湖亦庄天街店,010,北京市,2025-12-04,,2025-12-04,2025-12-15,昨天
102338,北京银座和谐广场店,010,北京市,2025-11-20,,2025-11-20,2025-12-15,昨天
102339,杭州大悦城,0571,杭州市,2025-10-29,,2025-10-29,2025-12-15,昨天
102340,上海荟聚店,021,上海市,2025-11-28,,2025-11-29,2025-12-15,昨天
